og:50 op: 3 ig:13 | 1.06 | 1.06 | 2025-10-08 15:50:07
og:50 op: 3 ig:14 | 0.08 | 1.06 | 2025-10-08 15:50:08
og:50 op: 3 ig:15 | 0.22 | 1.06 | 2025-10-08 15:50:08
og:50 op: 3 ig:16 | 0.35 | 1.06 | 2025-10-08 15:50:09
og:50 op: 3 ig:17 | 0.76 | 1.06 | 2025-10-08 15:50:10
og:50 op: 3 ig:18 | 0.57 | 1.06 | 2025-10-08 15:50:10
og:50 op: 3 ig:19 | 0.86 | 1.06 | 2025-10-08 15:50:11
og:50 op: 3 ig:20 | 1.00 | 1.06 | 2025-10-08 15:50:11
og:50 op: 3 ig:21 | 0.56 | 1.06 | 2025-10-08 15:50:12
og:50 op: 3 ig:22 | 0.76 | 1.06 | 2025-10-08 15:50:13
og:50 op: 3 ig:23 | 0.93 | 1.06 | 2025-10-08 15:50:13
og:50 op: 3 ig:24 | 0.85 | 1.06 | 2025-10-08 15:50:14
og:50 op: 3 ig:25 | 0.41 | 1.06 | 2025-10-08 15:50:14
og:50 op: 3 ig:26 | 0.78 | 1.06 | 2025-10-08 15:50:15
og:50 op: 3 ig:27 | 1.07 | 1.07 | 2025-10-08 15:50:15
og:50 op: 3 ig:28 | 0.07 | 1.07 | 2025-10-08 15:50:16
og:50 op: 3 ig:29 | 0.44 | 1.07 | 2025-10-08 15:50:16
og:50 op: 3 ig:30 | 0.27 | 1.07 | 2025-10-08 15:50:17
og:50 op: 3 ig:31 | 0.44 | 1.07 | 2025-10-08 15:50:17
og:50 op: 3 ig:32 | 0.43 | 1.07 | 2025-10-08 15:50:18
og:50 op: 3 ig:33 | 0.94 | 1.07 | 2025-10-08 15:50:18
og:50 op: 3 ig:34 | 0.22 | 1.07 | 2025-10-08 15:50:19
og:50 op: 3 ig:35 | 0.80 | 1.07 | 2025-10-08 15:50:20
og:50 op: 3 ig:36 | 0.93 | 1.07 | 2025-10-08 15:50:20
og:50 op: 3 ig:37 | 0.62 | 1.07 | 2025-10-08 15:50:21
og:50 op: 3 ig:38 | 0.58 | 1.07 | 2025-10-08 15:50:21
og:50 op: 3 ig:39 | 1.10 | 1.10 | 2025-10-08 15:50:22
og:50 op: 4 ig: 0 | 0.26 | 0.26 | 2025-10-08 15:50:22
og:50 op: 4 ig: 1 | 0.02 | 0.26 | 2025-10-08 15:50:23
og:50 op: 4 ig: 2 | 0.18 | 0.26 | 2025-10-08 15:50:23
og:50 op: 4 ig: 3 | 0.11 | 0.26 | 2025-10-08 15:50:24
og:50 op: 4 ig: 4 | 0.02 | 0.26 | 2025-10-08 15:50:24
og:50 op: 4 ig: 5 | 0.85 | 0.85 | 2025-10-08 15:50:25
og:50 op: 4 ig: 6 | 0.28 | 0.85 | 2025-10-08 15:50:26
og:50 op: 4 ig: 7 | 0.31 | 0.85 | 2025-10-08 15:50:26
og:50 op: 4 ig: 8 | 0.33 | 0.85 | 2025-10-08 15:50:27
og:50 op: 4 ig: 9 | 0.41 | 0.85 | 2025-10-08 15:50:27
og:50 op: 4 ig:10 | 0.77 | 0.85 | 2025-10-08 15:50:28
og:50 op: 4 ig:11 | 0.12 | 0.85 | 2025-10-08 15:50:28
og:50 op: 4 ig:12 | 0.42 | 0.85 | 2025-10-08 15:50:29
og:50 op: 4 ig:13 | 0.57 | 0.85 | 2025-10-08 15:50:29
og:50 op: 4 ig:14 | 0.50 | 0.85 | 2025-10-08 15:50:30
og:50 op: 4 ig:15 | 1.33 | 1.33 | 2025-10-08 15:50:30
og:50 op: 4 ig:16 | 0.92 | 1.33 | 2025-10-08 15:50:31
og:50 op: 4 ig:17 | 0.87 | 1.33 | 2025-10-08 15:50:31
og:50 op: 4 ig:18 | 0.73 | 1.33 | 2025-10-08 15:50:32
og:50 op: 4 ig:19 | 0.97 | 1.33 | 2025-10-08 15:50:32
og:50 op: 4 ig:20 | 0.38 | 1.33 | 2025-10-08 15:50:33
og:50 op: 4 ig:21 | 0.71 | 1.33 | 2025-10-08 15:50:33
og:50 op: 4 ig:22 | 0.75 | 1.33 | 2025-10-08 15:50:34
og:50 op: 4 ig:23 | 0.99 | 1.33 | 2025-10-08 15:50:34
og:50 op: 4 ig:24 | 0.41 | 1.33 | 2025-10-08 15:50:35
og:50 op: 4 ig:25 | 1.07 | 1.33 | 2025-10-08 15:50:35
og:50 op: 4 ig:26 | 0.70 | 1.33 | 2025-10-08 15:50:36
og:50 op: 4 ig:27 | 1.00 | 1.33 | 2025-10-08 15:50:37
og:50 op: 4 ig:28 | 1.04 | 1.33 | 2025-10-08 15:50:37
og:50 op: 4 ig:29 | 0.64 | 1.33 | 2025-10-08 15:50:38
og:50 op: 4 ig:30 | 0.87 | 1.33 | 2025-10-08 15:50:38
og:50 op: 4 ig:31 | 0.89 | 1.33 | 2025-10-08 15:50:39
og:50 op: 4 ig:32 | 0.68 | 1.33 | 2025-10-08 15:50:39
og:50 op: 4 ig:33 | 1.08 | 1.33 | 2025-10-08 15:50:40
og:50 op: 4 ig:34 | 1.59 | 1.59 | 2025-10-08 15:50:40
og:50 op: 4 ig:35 | 1.64 | 1.64 | 2025-10-08 15:50:41
og:50 op: 4 ig:36 | 1.64 | 1.64 | 2025-10-08 15:50:41
og:50 op: 4 ig:37 | 1.59 | 1.64 | 2025-10-08 15:50:42
og:50 op: 4 ig:38 | 1.85 | 1.85 | 2025-10-08 15:50:42
og:50 op: 4 ig:39 | 2.03 | 2.03 | 2025-10-08 15:50:43
outer gen 50  0 | score=2.03 | 2025-10-08 15:49:17
outer gen 50  1 | score=2.58 | 2025-10-08 15:49:39
outer gen 50  2 | score=1.10 | 2025-10-08 15:50:00
outer gen 50  3 | score=1.10 | 2025-10-08 15:50:22
outer gen 50  4 | score=2.03 | 2025-10-08 15:50:43
outer gen 50 | fin, mu: 1.77, genmax 2.58 vs cmax 9.05 | 2025-10-08 15:50:43
outer gen 50 took 107.79s (1m)
outer gen 51 | fd=-1 | starting 2025-10-08 15:50:43
strategy_cls_CMA strat_kw_{'seed': 16} policy_cls_NNPolicy population_size_16 n_generations_40 sim_duration_20 sim_steps_per_cycle_10 fitness_<function Experiment.basic_fitness at 0x000002DBF2744EA0>
WARNING: Nan, Inf or huge value in QACC at DOF 3. The simulation is unstable. Time = 0.0100.

WARNING: Nan, Inf or huge value in QACC at DOF 3. The simulation is unstable. Time = 0.0100.

WARNING: Nan, Inf or huge value in QACC at DOF 5. The simulation is unstable. Time = 0.0080.

WARNING: Nan, Inf or huge value in QACC at DOF 6. The simulation is unstable. Time = 0.0100.

WARNING: Nan, Inf or huge value in QACC at DOF 0. The simulation is unstable. Time = 0.0100.

og:51 op: 0 ig: 0 | -0.08 | -0.08 | 2025-10-08 15:50:43
og:51 op: 0 ig: 1 | -0.10 | -0.08 | 2025-10-08 15:50:44
